
file name: temp.txt
date: 11-Nov-2022
nobs = 8763,  ngood = 8763,  record length (days) = 365.13
start time: 01-Jan-2020
rayleigh criterion = 1.0
Greenwich phase computed with nodal corrections applied to amplitude \n and phase relative to center time

x0= 3.59, x trend= 0

var(x)= 0.064301   var(xp)= 0.027283   var(xres)= 0.037034
percent var predicted/var original= 42.4 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
*SSA  0.0002282    0.0722    0.006    58.50     4.53  1.6e+02
*MSM  0.0013098    0.0184    0.006   305.81    17.40      9.2
*MM   0.0015122    0.0116    0.006    70.43    29.07      3.7
*MSF  0.0028219    0.0152    0.006    71.55    22.18      6.2
*MF   0.0030501    0.0184    0.005   287.80    18.96       12
 ALP1 0.0343966    0.0017    0.004   226.41   167.38     0.18
 2Q1  0.0357064    0.0009    0.004   143.52   197.29    0.056
 SIG1 0.0359087    0.0006    0.004    91.19   242.16    0.027
 Q1   0.0372185    0.0025    0.005   235.97   130.52     0.28
 RHO1 0.0374209    0.0021    0.004    53.38   143.44     0.27
*O1   0.0387307    0.0103    0.005   242.65    34.03      3.8
*TAU1 0.0389588    0.0092    0.005   330.84    34.75      3.1
 BET1 0.0400404    0.0006    0.004   356.26   220.40    0.018
 NO1  0.0402686    0.0009    0.003   194.48   191.01      0.1
 CHI1 0.0404710    0.0015    0.004   116.71   164.35     0.13
 P1   0.0415526    0.0043    0.006   166.02    84.21     0.56
*K1   0.0417807    0.0162    0.005   230.93    21.38      8.9
*PHI1 0.0420089    0.0095    0.006   130.98    39.19      2.8
 THE1 0.0430905    0.0007    0.004     5.57   235.49    0.027
 J1   0.0432929    0.0000    0.004   337.12   244.86    5e-05
 SO1  0.0446027    0.0017    0.004   282.99   147.52     0.17
 OO1  0.0448308    0.0007    0.004    17.71   213.69    0.036
 UPS1 0.0463430    0.0013    0.004   275.32   169.04     0.14
 OQ2  0.0759749    0.0029    0.005   231.22    97.19      0.4
 EPS2 0.0761773    0.0018    0.005   224.84   143.62     0.14
 2N2  0.0774871    0.0037    0.005   340.93    91.94     0.52
 MU2  0.0776895    0.0064    0.006   285.25    54.30        1
*N2   0.0789992    0.0322    0.006   269.87     9.95       29
*NU2  0.0792016    0.0397    0.006   314.02     9.09       42
*M2   0.0805114    0.1842    0.005   284.10     1.91  1.1e+03
*MKS2 0.0807396    0.0953    0.006   334.42     3.37  2.7e+02
*LDA2 0.0818212    0.0153    0.006   301.99    20.46      6.8
 L2   0.0820236    0.0093    0.007   165.43    50.67      1.6
*S2   0.0833333    0.0308    0.006   311.52    11.18       27
*K2   0.0835615    0.0220    0.007   319.41    15.23       11
 MSN2 0.0848455    0.0020    0.004    21.09   137.15     0.22
 ETA2 0.0850736    0.0014    0.004     9.73   163.73     0.15
 MO3  0.1192421    0.0006    0.004   109.60   251.29    0.019
 M3   0.1207671    0.0002    0.004   279.62   255.11   0.0022
 SO3  0.1220640    0.0002    0.004   338.61   257.43   0.0017
 MK3  0.1222921    0.0018    0.004   109.94   154.04     0.18
 SK3  0.1251141    0.0001    0.003    48.18   294.64  0.00025
 MN4  0.1595106    0.0008    0.004   159.04   231.81    0.034
 M4   0.1610228    0.0004    0.003   167.41   246.13    0.015
 SN4  0.1623326    0.0006    0.004   312.18   208.56    0.025
 MS4  0.1638447    0.0003    0.004    59.21   258.25   0.0063
 MK4  0.1640729    0.0018    0.004   301.25   168.93     0.21
 S4   0.1666667    0.0001    0.004   288.26   243.04  0.00078
 SK4  0.1668948    0.0002    0.003   268.01   250.19   0.0049
 2MK5 0.2028035    0.0005    0.004    46.81   242.68    0.013
 2SK5 0.2084474    0.0005    0.004   263.17   219.56    0.013
 2MN6 0.2400221    0.0007    0.004     4.92   209.83    0.025
 M6   0.2415342    0.0014    0.004    17.60   165.08     0.11
 2MS6 0.2443561    0.0017    0.005   343.24   168.60     0.13
 2MK6 0.2445843    0.0022    0.004   315.15   142.91     0.29
 2SM6 0.2471781    0.0006    0.004    16.22   253.91     0.02
 MSK6 0.2474062    0.0009    0.004   336.53   200.80    0.049
 3MK7 0.2833149    0.0001    0.004    58.58   247.36   0.0012
 M8   0.3220456    0.0007    0.004   286.92   204.55    0.025
