
file name: temp.txt
date: 15-Aug-2022
nobs = 7530,  ngood = 7529,  record length (days) = 313.75
start time: 01-Jan-2010
rayleigh criterion = 1.0
Greenwich phase computed with nodal corrections applied to amplitude \n and phase relative to center time

x0= 0.168, x trend= 0

var(x)= 0.060499   var(xp)= 0.02425   var(xres)= 0.036193
percent var predicted/var original= 40.1 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
*SSA  0.0002282    0.0378    0.006   350.83     8.89       44
*MSM  0.0013098    0.0186    0.006   114.29    19.19      9.5
*MM   0.0015122    0.0107    0.006     3.74    32.40      2.8
*MSF  0.0028219    0.0107    0.006    12.88    35.35        3
*MF   0.0030501    0.0181    0.006    28.87    18.65        9
 ALP1 0.0343966    0.0007    0.004   279.70   241.13    0.026
 2Q1  0.0357064    0.0013    0.004   296.73   173.22    0.097
 SIG1 0.0359087    0.0006    0.004   259.01   224.88    0.026
 Q1   0.0372185    0.0041    0.005   253.04    79.53     0.75
 RHO1 0.0374209    0.0044    0.006   141.12    70.26     0.59
*O1   0.0387307    0.0230    0.005   227.48    15.19       18
*TAU1 0.0389588    0.0139    0.007   275.53    27.64      4.2
 BET1 0.0400404    0.0020    0.004   189.64   155.69     0.22
 NO1  0.0402686    0.0037    0.005   220.34    71.80     0.67
 CHI1 0.0404710    0.0044    0.005   140.27    77.54     0.64
*P1   0.0415526    0.0255    0.007   230.85    13.36       14
*K1   0.0417807    0.0410    0.007   200.43     8.35       37
 PHI1 0.0420089    0.0066    0.006   113.02    52.07      1.3
 THE1 0.0430905    0.0031    0.005     3.76   102.70     0.41
 J1   0.0432929    0.0013    0.004    67.97   184.12      0.1
 SO1  0.0446027    0.0019    0.004     5.17   158.34     0.21
 OO1  0.0448308    0.0018    0.004   229.06   139.33     0.25
 UPS1 0.0463430    0.0011    0.003   304.97   192.54     0.12
 OQ2  0.0759749    0.0052    0.006     1.84    60.83     0.75
 EPS2 0.0761773    0.0033    0.006    32.48   104.00     0.33
*2N2  0.0774871    0.0100    0.006    14.83    40.64      2.5
 MU2  0.0776895    0.0081    0.006   103.89    42.21      1.7
*N2   0.0789992    0.0532    0.007    16.24     6.74       53
*NU2  0.0792016    0.0239    0.005   173.30    13.13       19
*M2   0.0805114    0.1713    0.007    37.88     2.02  6.8e+02
*MKS2 0.0807396    0.1123    0.006   168.66     3.13  3.4e+02
*LDA2 0.0818212    0.0114    0.007    15.21    32.62      3.1
*L2   0.0820236    0.0190    0.007   318.30    24.74      6.5
*S2   0.0833333    0.0170    0.006    20.51    20.59      7.3
 K2   0.0835615    0.0060    0.005     2.41    54.40      1.2
 MSN2 0.0848455    0.0076    0.006   206.73    46.76      1.5
 ETA2 0.0850736    0.0018    0.004    12.28   139.46     0.19
 MO3  0.1192421    0.0022    0.004   250.04   144.63     0.28
 M3   0.1207671    0.0012    0.005   125.54   217.37    0.071
 SO3  0.1220640    0.0009    0.004   225.27   207.54    0.051
 MK3  0.1222921    0.0022    0.005   226.47   154.67     0.23
 SK3  0.1251141    0.0007    0.004    93.33   223.88    0.027
 MN4  0.1595106    0.0015    0.005   357.49   166.28      0.1
 M4   0.1610228    0.0014    0.005    18.69   178.83    0.088
 SN4  0.1623326    0.0007    0.004   331.86   239.61    0.028
 MS4  0.1638447    0.0012    0.004    52.62   197.70    0.085
 MK4  0.1640729    0.0035    0.005    64.69   102.37     0.46
 S4   0.1666667    0.0002    0.004   139.70   270.58   0.0016
 SK4  0.1668948    0.0003    0.004   219.62   257.89   0.0039
 2MK5 0.2028035    0.0007    0.004   313.29   208.57    0.026
 2SK5 0.2084474    0.0002    0.004   136.78   255.40   0.0014
 2MN6 0.2400221    0.0009    0.004    96.03   232.95     0.05
 M6   0.2415342    0.0018    0.005    53.64   161.13     0.15
 2MS6 0.2443561    0.0010    0.004   198.78   184.54     0.05
 2MK6 0.2445843    0.0018    0.004   150.39   148.35     0.17
 2SM6 0.2471781    0.0003    0.005   262.16   256.00   0.0046
 MSK6 0.2474062    0.0001    0.004    98.14   261.51   0.0009
 3MK7 0.2833149    0.0002    0.004   102.34   247.89   0.0031
 M8   0.3220456    0.0003    0.004   152.00   277.81   0.0057
