agency_cd,site_no,datetime,discharge_cfs,329706_00060_00003_cd
USGS,12436500,1/1/1970,91500,A:R
USGS,12436500,1/2/1970,92300,A:R
USGS,12436500,1/3/1970,101000,A:R
USGS,12436500,1/4/1970,126000,A:R
USGS,12436500,1/5/1970,105000,A:R
USGS,12436500,1/6/1970,120000,A:R
USGS,12436500,1/7/1970,108000,A:R
USGS,12436500,1/8/1970,98700,A:R
USGS,12436500,1/9/1970,87900,A:R
USGS,12436500,1/10/1970,90100,A:R
USGS,12436500,1/11/1970,91300,A:R
USGS,12436500,1/12/1970,84700,A:R
USGS,12436500,1/13/1970,69200,A:R
USGS,12436500,1/14/1970,69500,A:R
USGS,12436500,1/15/1970,86300,A:R
USGS,12436500,1/16/1970,88300,A:R
USGS,12436500,1/17/1970,87500,A:R
USGS,12436500,1/18/1970,88100,A:R
USGS,12436500,1/19/1970,89800,A:R
USGS,12436500,1/20/1970,86200,A:R
USGS,12436500,1/21/1970,76200,A:R
USGS,12436500,1/22/1970,62000,A:R
USGS,12436500,1/23/1970,69900,A:R
USGS,12436500,1/24/1970,65200,A:R
USGS,12436500,1/25/1970,69500,A:R
USGS,12436500,1/26/1970,77500,A:R
USGS,12436500,1/27/1970,62800,A:R
USGS,12436500,1/28/1970,62900,A:R
USGS,12436500,1/29/1970,77100,A:R
USGS,12436500,1/30/1970,80500,A:R
USGS,12436500,1/31/1970,65000,A:R
USGS,12436500,2/1/1970,53400,A:R
USGS,12436500,2/2/1970,72500,A:R
USGS,12436500,2/3/1970,79500,A:R
USGS,12436500,2/4/1970,81700,A:R
USGS,12436500,2/5/1970,64400,A:R
USGS,12436500,2/6/1970,59500,A:R
USGS,12436500,2/7/1970,58200,A:R
USGS,12436500,2/8/1970,73400,A:R
USGS,12436500,2/9/1970,76800,A:R
USGS,12436500,2/10/1970,74800,A:R
USGS,12436500,2/11/1970,83100,A:R
USGS,12436500,2/12/1970,86500,A:R
USGS,12436500,2/13/1970,71200,A:R
USGS,12436500,2/14/1970,71500,A:R
USGS,12436500,2/15/1970,66100,A:R
USGS,12436500,2/16/1970,71500,A:R
USGS,12436500,2/17/1970,63400,A:R
USGS,12436500,2/18/1970,75400,A:R
USGS,12436500,2/19/1970,61500,A:R
USGS,12436500,2/20/1970,68900,A:R
USGS,12436500,2/21/1970,78200,A:R
USGS,12436500,2/22/1970,84400,A:R
USGS,12436500,2/23/1970,75400,A:R
USGS,12436500,2/24/1970,83400,A:R
USGS,12436500,2/25/1970,81100,A:R
USGS,12436500,2/26/1970,78500,A:R
USGS,12436500,2/27/1970,74500,A:R
USGS,12436500,2/28/1970,77700,A:R
USGS,12436500,3/1/1970,81500,A:R
USGS,12436500,3/2/1970,74800,A:R
USGS,12436500,3/3/1970,61000,A:R
USGS,12436500,3/4/1970,80000,A:R
USGS,12436500,3/5/1970,82600,A:R
USGS,12436500,3/6/1970,82900,A:R
USGS,12436500,3/7/1970,81400,A:R
USGS,12436500,3/8/1970,85000,A:R
USGS,12436500,3/9/1970,86500,A:R
USGS,12436500,3/10/1970,70500,A:R
USGS,12436500,3/11/1970,77400,A:R
USGS,12436500,3/12/1970,86600,A:R
USGS,12436500,3/13/1970,86900,A:R
USGS,12436500,3/14/1970,83400,A:R
USGS,12436500,3/15/1970,72400,A:R
USGS,12436500,3/16/1970,66100,A:R
USGS,12436500,3/17/1970,63800,A:R
USGS,12436500,3/18/1970,83200,A:R
USGS,12436500,3/19/1970,87000,A:R
USGS,12436500,3/20/1970,86900,A:R
USGS,12436500,3/21/1970,82700,A:R
USGS,12436500,3/22/1970,67500,A:R
USGS,12436500,3/23/1970,85800,A:R
USGS,12436500,3/24/1970,86300,A:R
USGS,12436500,3/25/1970,86500,A:R
USGS,12436500,3/26/1970,87000,A:R
USGS,12436500,3/27/1970,86300,A:R
USGS,12436500,3/28/1970,87500,A:R
USGS,12436500,3/29/1970,86800,A:R
USGS,12436500,3/30/1970,88800,A:R
USGS,12436500,3/31/1970,102000,A:R
USGS,12436500,4/1/1970,93300,A:R
USGS,12436500,4/2/1970,89300,A:R
USGS,12436500,4/3/1970,82500,A:R
USGS,12436500,4/4/1970,81300,A:R
USGS,12436500,4/5/1970,80400,A:R
USGS,12436500,4/6/1970,81300,A:R
USGS,12436500,4/7/1970,95800,A:R
USGS,12436500,4/8/1970,105000,A:R
USGS,12436500,4/9/1970,95200,A:R
USGS,12436500,4/10/1970,90800,A:R
USGS,12436500,4/11/1970,88200,A:R
USGS,12436500,4/12/1970,84300,A:R
USGS,12436500,4/13/1970,84600,A:R
USGS,12436500,4/14/1970,81900,A:R
USGS,12436500,4/15/1970,77200,A:R
USGS,12436500,4/16/1970,75500,A:R
USGS,12436500,4/17/1970,83800,A:R
USGS,12436500,4/18/1970,92900,A:R
USGS,12436500,4/19/1970,104000,A:R
USGS,12436500,4/20/1970,102000,A:R
USGS,12436500,4/21/1970,88500,A:R
USGS,12436500,4/22/1970,91000,A:R
USGS,12436500,4/23/1970,96200,A:R
USGS,12436500,4/24/1970,83100,A:R
USGS,12436500,4/25/1970,79200,A:R
USGS,12436500,4/26/1970,80800,A:R
USGS,12436500,4/27/1970,83600,A:R
USGS,12436500,4/28/1970,102000,A:R
USGS,12436500,4/29/1970,105000,A:R
USGS,12436500,4/30/1970,87100,A:R
USGS,12436500,5/1/1970,76000,A:R
USGS,12436500,5/2/1970,79000,A:R
USGS,12436500,5/3/1970,79200,A:R
USGS,12436500,5/4/1970,75600,A:R
USGS,12436500,5/5/1970,60700,A:R
USGS,12436500,5/6/1970,64600,A:R
USGS,12436500,5/7/1970,68500,A:R
USGS,12436500,5/8/1970,62900,A:R
USGS,12436500,5/9/1970,68400,A:R
USGS,12436500,5/10/1970,65300,A:R
USGS,12436500,5/11/1970,65300,A:R
USGS,12436500,5/12/1970,69300,A:R
USGS,12436500,5/13/1970,67400,A:R
USGS,12436500,5/14/1970,71600,A:R
USGS,12436500,5/15/1970,99400,A:R
USGS,12436500,5/16/1970,106000,A:R
